user;age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;numfriends;like1;like2;like3;classvalue;auth;mod
940;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.141361;2
939;26-35;female;Boston;Buddhist;Widowed;Manager;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.246073;2
938;26-35;female;Winthrop;Buddhist;Married;Manager;Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.251309;2
937;26-35;male;Boston;Hindu;Married;Manager;Left;Bisexual;LOW;tv show;drink brand;soccer club;YES;0.397906;2
936;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.047120;3
935;36-45;male;Winthrop;No religious affiliation;Married;Sales and office;Center;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.026178;0
934;18-25;female;Winthrop;Muslim;Single;Sales and office;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.109948;5
933;18-25;female;Winthrop;Christian;Single;Service;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.073298;5
932;18-25;female;Winthrop;Christian;Single;Professional;Center Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.099476;5
931;46-55;male;Boston;Muslim;Divorced;Sales and office;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.136126;0
930;26-35;male;Cambridge;Muslim;Single;Sales and office;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.120419;5
929;46-55;male;Palo Alto;Sikh;Married;Production transportation and material moving;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.083770;3
928;26-35;male;Santa Barbara;Buddhist;Divorced;Natural resources construction and maintenance;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.083770;3
927;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.089005;3
926;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.125654;3
925;56-65;female;Santa Barbara;Buddhist;Single;Natural resources construction and maintenance;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.089005;9
924;56-65;male;Winthrop;Hindu;Divorced;Manager;Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.136126;3
923;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.099476;2
922;66-75;male;Santa Barbara;Hindu;Widowed;Manager;Far Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.188482;3
921;36-45;female;Winthrop;Muslim;Married;Professional;Right;Heterosexual;MEDIUM;tv show;drink brand;soccer club;YES;0.036649;5
920;26-35;male;Santa Barbara;Other Religions;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.089005;3
919;36-45;male;Boston;No religious affiliation;Widowed;Sales and office;Center Right;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.141361;0
918;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.193717;5
917;36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.115183;0
916;18-25;male;Boston;Muslim;Married;Professional;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.157068;5
915;18-25;female;San Jose;Christian;Married;Sales and office;Center Right;Bisexual;LOW;music artist;music artist;entertainment;NO;0.136126;5
914;18-25;female;Winthrop;Muslim;Married;Professional;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.293194;5
913;36-45;male;Boston;Muslim;Widowed;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.099476;0
912;46-55;male;San Jose;Buddhist;Widowed;Natural resources construction and maintenance;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.104712;3
911;36-45;male;Boston;Other Religions;Single;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.193717;0
910;66-75;male;Santa Barbara;Muslim;Married;Production transportation and material moving;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.235602;3
909;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.146597;3
908;18-25;female;Winthrop;Christian;Single;Professional;Center Right;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.235602;6
907;36-45;female;Santa Barbara;Christian;Widowed;Sales and office;Center;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.157068;0
906;18-25;female;Palo Alto;Muslim;Single;Professional;Right;Asexual;LOW;entertainment;entertainment;music artist;YES;0.424084;5
905;18-25;female;Boston;Christian;Single;Sales and office;Center Left;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.062827;5
904;36-45;female;Winthrop;Other Religions;Married;Service;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.083770;2
903;18-25;male;Winthrop;Muslim;Widowed;Sales and office;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.151832;5
902;66-75;female;Santa Barbara;Jewish;Married;Natural resources construction and maintenance;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.104712;4
901;66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.178010;4
900;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.141361;2
899;18-25;female;Winthrop;Muslim;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.230366;5
898;76-85;female;Cambridge;Muslim;Single;Professional;Left;Heterosexual;LOW;drink brand;drink brand;entertainment;YES;0.094241;6
897;56-65;female;Winthrop;Hindu;Married;Natural resources construction and maintenance;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.141361;2
896;26-35;female;Cambridge;Hindu;Widowed;Manager;Left;Homosexual;LOW;music artist;music artist;entertainment;YES;0.136126;2
895;18-25;male;Winthrop;Muslim;Divorced;Professional;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.204188;5
894;36-45;male;Cambridge;Buddhist;Married;Manager;Left;Asexual;LOW;drink brand;drink brand;entertainment;YES;0.151832;2
893;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.230366;6
892;26-35;female;San Jose;Buddhist;Widowed;Sales and office;Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.251309;2
891;18-25;male;Winthrop;Other Religions;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.303665;5
890;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.052356;7
889;26-35;female;Cambridge;Buddhist;Single;Manager;Far Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.141361;2
888;46-55;male;Cambridge;Buddhist;Married;Sales and office;Left;Bisexual;LOW;drink brand;drink brand;entertainment;YES;0.235602;2
887;26-35;female;San Jose;Muslim;Single;Professional;Center Right;Bisexual;LOW;drink brand;drink brand;entertainment;YES;0.172775;1
886;66-75;female;Palo Alto;Jewish;Single;Natural resources construction and maintenance;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.162304;4
885;36-45;male;Winthrop;Christian;Widowed;Professional;Center Left;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.198953;2
884;26-35;female;Cambridge;Buddhist;Single;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.157068;2
883;26-35;female;Santa Barbara;Buddhist;Single;Sales and office;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.371728;2
882;56-65;male;Palo Alto;Hindu;Married;Professional;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.151832;3
881;18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;MEDIUM;drink brand;drink brand;entertainment;NO;0.151832;1
880;26-35;female;Winthrop;Buddhist;Married;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.240838;2
879;18-25;female;Palo Alto;Christian;Widowed;Student;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.277487;1
878;66-75;female;San Jose;Jewish;Single;Production transportation and material moving;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.230366;4
877;76-85;female;Santa Barbara;Christian;Married;Natural resources construction and maintenance;Far Left;Heterosexual;MEDIUM;drink brand;drink brand;entertainment;YES;0.350785;4
876;26-35;male;Boston;No religious affiliation;Single;Student;Far Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.256545;2
875;26-35;female;Boston;Muslim;Single;Student;Right;Homosexual;LOW;music artist;music artist;entertainment;YES;0.455497;2
874;18-25;male;Cambridge;Jewish;Married;Service;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.057592;6
873;56-65;male;Santa Barbara;Hindu;Single;Natural resources construction and maintenance;Center Right;Bisexual;LOW;tv show;drink brand;soccer club;NO;0.047120;3
872;26-35;female;Boston;Buddhist;Married;Manager;Center Left;Asexual;MEDIUM;entertainment;entertainment;music artist;NO;0.062827;2
871;18-25;male;Winthrop;Christian;Single;Manager;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.109948;8
870;26-35;male;Santa Barbara;Christian;Single;Service;Center;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.062827;6
869;66-75;female;San Jose;Jewish;Single;Production transportation and material moving;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.157068;4
868;76-85;male;Boston;Muslim;Single;Sales and office;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.083770;2
867;18-25;female;Winthrop;Hindu;Single;Natural resources construction and maintenance;Left;Homosexual;LOW;music artist;music artist;entertainment;YES;0.193717;2
866;56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;MEDIUM;tv show;drink brand;soccer club;NO;0.041885;3
865;66-75;female;Santa Barbara;Christian;Widowed;Production transportation and material moving;Far Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.062827;4
864;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.104712;2
863;66-75;female;San Jose;Christian;Married;Student;Center Right;Bisexual;LOW;drink brand;drink brand;entertainment;NO;0.157068;3
862;36-45;female;Boston;Buddhist;Married;Sales and office;Center;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.109948;0
861;66-75;male;Winthrop;Jewish;Married;Natural resources construction and maintenance;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.125654;4
860;26-35;male;San Jose;Buddhist;Single;Manager;Center Left;Homosexual;LOW;music artist;music artist;entertainment;NO;0.183246;2
859;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.225131;2
858;36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.083770;0
857;36-45;male;Santa Barbara;Christian;Married;Production transportation and material moving;Center;Homosexual;LOW;music artist;music artist;entertainment;NO;0.099476;4
856;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.167539;2
855;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.162304;6
854;66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.146597;4
853;56-65;male;Santa Barbara;Christian;Single;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.167539;4
852;36-45;male;Cambridge;Buddhist;Divorced;Manager;Far Left;Homosexual;MEDIUM;music artist;music artist;entertainment;YES;0.162304;2
851;46-55;female;Santa Barbara;Buddhist;Divorced;Professional;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.246073;2
850;46-55;female;Santa Barbara;Christian;Married;Service;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.078534;2
849;56-65;male;Palo Alto;Sikh;Married;Production transportation and material moving;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.240838;3
848;36-45;male;San Jose;No religious affiliation;Single;Service;Center Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.109948;3
847;66-75;female;Winthrop;Buddhist;Divorced;Sales and office;Right;Bisexual;LOW;music artist;music artist;entertainment;NO;0.204188;2
846;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.130890;2
845;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.219895;2
844;36-45;female;Santa Barbara;Buddhist;Single;Professional;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.230366;2
843;26-35;male;Cambridge;Buddhist;Widowed;Professional;Center Left;Asexual;LOW;music artist;music artist;entertainment;NO;0.314136;2
842;18-25;female;Winthrop;Christian;Single;Professional;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.115183;8
841;46-55;male;Boston;Buddhist;Single;Manager;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.136126;2
840;56-65;male;Cambridge;Buddhist;Single;Professional;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.183246;2
839;76-85;female;San Jose;Jewish;Married;Manager;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.083770;4
838;66-75;male;Cambridge;Other Religions;Married;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.130890;4
837;36-45;male;Boston;Buddhist;Divorced;Sales and office;Left;Heterosexual;LOW;tv show;drink brand;soccer club;YES;0.209424;2
836;66-75;male;Cambridge;Sikh;Married;Manager;Center Left;Homosexual;LOW;music artist;music artist;entertainment;NO;0.193717;2
835;26-35;female;Cambridge;Buddhist;Married;Manager;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.136126;2
834;66-75;female;Boston;Buddhist;Single;Manager;Left;Bisexual;MEDIUM;music artist;music artist;entertainment;YES;0.162304;2
833;26-35;female;Boston;Buddhist;Divorced;Manager;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.198953;2
832;18-25;male;Winthrop;Christian;Divorced;Sales and office;Center Left;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.162304;2
831;26-35;female;Cambridge;Buddhist;Married;Sales and office;Center Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;NO;0.162304;2
830;18-25;female;Winthrop;Hindu;Married;Manager;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.198953;8
829;18-25;male;Winthrop;Hindu;Widowed;Student;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.225131;1
828;76-85;male;Boston;Buddhist;Married;Manager;Center;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.267016;2
827;26-35;female;Boston;Buddhist;Single;Manager;Center Left;Bisexual;MEDIUM;entertainment;drink brand;entertainment;NO;0.099476;2
826;18-25;female;Winthrop;Buddhist;Single;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.157068;2
825;26-35;female;Cambridge;Buddhist;Single;Manager;Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.198953;2
824;26-35;male;Cambridge;Hindu;Single;Professional;Center Left;Bisexual;LOW;music artist;music artist;entertainment;NO;0.225131;2
823;26-35;female;Cambridge;Buddhist;Married;Natural resources construction and maintenance;Far Left;Asexual;MEDIUM;music artist;music artist;entertainment;YES;0.167539;2
822;26-35;male;San Jose;Buddhist;Married;Sales and office;Center Left;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.230366;2
821;26-35;female;Cambridge;Buddhist;Married;Manager;Left;Heterosexual;LOW;entertainment;entertainment;music artist;YES;0.282723;2
820;26-35;female;San Jose;Buddhist;Married;Manager;Center;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.298429;2
819;26-35;female;Cambridge;Buddhist;Widowed;Service;Left;Heterosexual;MEDIUM;music artist;music artist;entertainment;YES;0.172775;2
818;36-45;male;Cambridge;Buddhist;Single;Manager;Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.230366;2
817;66-75;female;Palo Alto;Hindu;Single;Student;Far Left;Heterosexual;LOW;drink brand;drink brand;entertainment;YES;0.235602;2
816;26-35;female;Cambridge;Buddhist;Divorced;Manager;Left;Bisexual;LOW;music artist;music artist;entertainment;YES;0.319372;2
815;36-45;female;Cambridge;Buddhist;Divorced;Manager;Left;Homosexual;MEDIUM;entertainment;entertainment;music artist;YES;0.198953;2
814;76-85;female;Palo Alto;Jewish;Single;Production transportation and material moving;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.319372;4
813;36-45;female;Winthrop;Buddhist;Widowed;Manager;Center Right;Heterosexual;MEDIUM;entertainment;entertainment;music artist;NO;0.392670;2
812;26-35;female;Boston;Buddhist;Married;Manager;Center Left;Asexual;LOW;entertainment;entertainment;music artist;NO;0.513089;2
811;56-65;male;Santa Barbara;Hindu;Married;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.109948;3
810;56-65;male;Palo Alto;Hindu;Single;Professional;Center Right;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.130890;3
809;56-65;male;Santa Barbara;Hindu;Widowed;Production transportation and material moving;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.219895;3
808;18-25;female;Winthrop;No religious affiliation;Divorced;Sales and office;Center;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.115183;0
807;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.136126;6
806;18-25;female;Santa Barbara;Christian;Single;Manager;Center Left;Heterosexual;LOW;music artist;music artist;entertainment;NO;0.151832;3
805;26-35;female;Cambridge;Buddhist;Divorced;Professional;Left;Asexual;LOW;music artist;music artist;entertainment;YES;0.193717;2
804;56-65;female;Boston;Jewish;Widowed;Service;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.083770;6
803;18-25;female;Winthrop;Jewish;Single;Professional;Center Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.120419;6
802;46-55;male;Santa Barbara;Hindu;Single;Production transportation and material moving;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.141361;3
801;76-85;female;Santa Barbara;Hindu;Single;Professional;Right;Bisexual;LOW;entertainment;entertainment;music artist;NO;0.314136;3
800;26-35;female;Winthrop;Jewish;Single;Professional;Center;Heterosexual;LOW;drink brand;drink brand;entertainment;NO;0.157068;6
799;66-75;male;Palo Alto;Hindu;Single;Production transportation and material moving;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.272251;3
798;18-25;female;Winthrop;Christian;Married;Professional;Right;Heterosexual;LOW;entertainment;entertainment;music artist;NO;0.225131;6
797;56-65;male;Santa Barbara;Buddhist;Widowed;Natural resources construction and maintenance;Right;Heterosexual;LOW;tv show;drink brand;soccer club;NO;0.277487;3
796;66-75;female;Santa Barbara;Christian;Single;Sales and office;Far Left;Heterosexual;LOW;music artist;music artist;entertainment;YES;0.146597;4
